 2024-02-08 00:08:34,339 - Key.ctrl_l
 2024-02-08 00:08:34,340 - Key.alt_gr
 2024-02-08 00:08:34,395 - '#'
 2024-02-08 00:08:34,540 - Key.space
 2024-02-08 00:08:34,833 - 'b'
 2024-02-08 00:08:35,029 - 'i'
 2024-02-08 00:08:35,155 - 'e'
 2024-02-08 00:08:35,290 - 'n'
 2024-02-08 00:08:35,400 - Key.space
 2024-02-08 00:08:35,614 - 'o'
 2024-02-08 00:08:36,009 - 'u'
 2024-02-08 00:08:36,102 - Key.space
 2024-02-08 00:08:36,224 - 'q'
 2024-02-08 00:08:36,499 - 'u'
 2024-02-08 00:08:36,722 - 'o'
 2024-02-08 00:08:36,892 - 'i'
 2024-02-08 00:08:37,227 - Key.ctrl_l
 2024-02-08 00:08:37,428 - '\x13'
 2024-02-08 00:09:08,360 - 'c'
 2024-02-08 00:09:08,518 - 'o'
 2024-02-08 00:09:08,804 - 'm'
 2024-02-08 00:09:08,966 - 'm'
 2024-02-08 00:09:09,076 - 'e'
 2024-02-08 00:09:09,266 - 'n'
 2024-02-08 00:09:09,363 - 't'
 2024-02-08 00:09:09,446 - Key.space
 2024-02-08 00:09:09,563 - 'e'
 2024-02-08 00:09:09,708 - 'n'
 2024-02-08 00:09:09,847 - 'v'
 2024-02-08 00:09:09,970 - 'o'
 2024-02-08 00:09:10,253 - 'y'
 2024-02-08 00:09:10,325 - 'e'
 2024-02-08 00:09:10,428 - 'r'
 2024-02-08 00:09:10,517 - Key.space
 2024-02-08 00:09:10,651 - 'u'
 2024-02-08 00:09:10,802 - 'n'
 2024-02-08 00:09:10,854 - Key.space
 2024-02-08 00:09:10,961 - 'f'
 2024-02-08 00:09:11,111 - 'i'
 2024-02-08 00:09:11,244 - 'c'
 2024-02-08 00:09:11,331 - 'h'
 2024-02-08 00:09:11,494 - 'i'
 2024-02-08 00:09:11,541 - 'e'
 2024-02-08 00:09:11,662 - 'r'
 2024-02-08 00:09:11,763 - Key.space
 2024-02-08 00:09:11,872 - 'e'
 2024-02-08 00:09:11,983 - 'n'
 2024-02-08 00:09:12,081 - Key.space
 2024-02-08 00:09:12,225 - 't'
 2024-02-08 00:09:12,304 - 'e'
 2024-02-08 00:09:12,459 - 'm'
 2024-02-08 00:09:12,620 - 'p'
 2024-02-08 00:09:12,666 - 's'
 2024-02-08 00:09:12,751 - Key.space
 2024-02-08 00:09:12,946 - 'r'
 2024-02-08 00:09:13,075 - 'e'
 2024-02-08 00:09:13,241 - 'e'
 2024-02-08 00:09:13,369 - 'l'
 2024-02-08 00:09:13,511 - Key.space
 2024-02-08 00:09:13,759 - 'v'
 2024-02-08 00:09:13,926 - 'i'
 2024-02-08 00:09:13,975 - 'a'
 2024-02-08 00:09:14,058 - Key.space
 2024-02-08 00:09:14,223 - 's'
 2024-02-08 00:09:14,335 - 'o'
 2024-02-08 00:09:14,479 - 'c'
 2024-02-08 00:09:14,595 - 'k'
 2024-02-08 00:09:14,706 - 'e'
 2024-02-08 00:09:14,864 - 't'
 2024-02-08 00:09:14,949 - Key.space
 2024-02-08 00:09:20,364 - Key.enter
 2024-02-08 00:09:51,928 - Key.ctrl_l
 2024-02-08 00:09:55,001 - Key.ctrl_l
 2024-02-08 00:09:56,445 - Key.ctrl_l
 2024-02-08 00:09:56,900 - Key.ctrl_l
 2024-02-08 00:09:57,084 - '\x03'
 2024-02-08 00:10:07,064 - Key.ctrl_l
 2024-02-08 00:10:07,227 - '\x03'
 2024-02-08 00:10:07,601 - '\x1a'
 2024-02-08 00:10:08,141 - '\x03'
 2024-02-08 00:10:08,367 - '\x03'
 2024-02-08 00:10:08,559 - '\x03'
 2024-02-08 00:10:08,797 - '\x1a'
 2024-02-08 00:10:10,193 - Key.ctrl_l
 2024-02-08 00:10:10,309 - '\x03'
 2024-02-08 00:10:16,297 - Key.enter
 2024-02-08 00:10:16,516 - Key.enter
 2024-02-08 00:10:23,277 - Key.ctrl_l
 2024-02-08 00:10:23,392 - '\x03'
 2024-02-08 00:10:23,638 - '\x03'
 2024-02-08 00:10:23,825 - '\x03'
 2024-02-08 00:10:24,009 - '\x03'
 2024-02-08 00:10:24,689 - Key.ctrl_l
 2024-02-08 00:10:24,834 - '\x03'
 2024-02-08 00:10:25,043 - '\x03'
 2024-02-08 00:10:25,277 - '\x1a'
 2024-02-08 00:10:25,482 - '\x1a'
 2024-02-08 00:10:26,277 - Key.ctrl_l
 2024-02-08 00:10:26,514 - Key.alt_l
 2024-02-08 00:10:26,633 - <90>
 2024-02-08 00:10:28,731 - Key.esc
